Trait	nSNP	overall_p	mscomp	File_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Chip	Population	Collection	sig_overall
CREAT_SinnottArmstrong_33462484_1	547	7.73028560265695e-12	PC11 (5e-06)	CREAT_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CREAT	Creatinine	BMK	363070	0	363070	Multiple (UKBB data & others)	Trans-ethnic	UKBB	Yes
CREST_FinnGen_FinnGenR5_1	561	0.00170948349880391	PC2 (1e-04)	CREST_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	CREST	CR(E)ST syndrome (FinnGen)	IMD	218621	171	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
CRF_Sakaue_doi1011012020102320213652_1	534	0.723506105578545	PC12 (6e-02)	CRF_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CRF	Chronic renal failure	OTH	174345	2117	176462	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
CROHN_ARTHR_FinnGen_FinnGenR5_1	561	0.225226642422205	PC12 (3e-02)	CROHN_ARTHR_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	CROHN_ARTHR	Arthropathy in Crohn disease (FinnGen)	IMD	217013	116	217129	Illumina and Affymetrix	European (Finnish)	FinnGen	No
CSEC_Sakaue_doi1011012020102320213652_1	534	0.355384796956722	PC9 (2e-01)	CSEC_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CSEC	Cesarian section	OTH	82310	451	82761	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
CSI_Tian_28928442_1	565	0.0077468307640418	PC13 (6e-04)	CSI_Tian_28928442_1-hg38.tsv.gz	Tian	2017	28928442	CSI	Surgery for chronic sinus infections	INF	79622	5291	84913		European		No
CSOM_Sakaue_doi1011012020102320213652_1	534	0.365577397528235	PC11 (3e-01)	CSOM_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CSOM	Chronic suppurative otitis media	INF	176520	2206	178726	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
CSO_Tian_28928442_1	565	0.159417301856171	PC5 (2e-02)	CSO_Tian_28928442_1-hg38.tsv.gz	Tian	2017	28928442	CSO	Cold sores	INF	63332	25108	88440		European		No
CST5_Hoglund_31727947_1	566	0.245806575260803	PC12 (2e-02)	CST5_Hoglund_31727947_1-hg38.tsv.gz	Hoglund	2020	31727947	CST5	Cystatin-D (CST5) levels	BMK	549	0	549	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CSTB_Folkersen_33067605_1	429	0.527417666471529	PC3 (2e-02)	CSTB_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CSTB	Cystatin-B levels	BMK	21758	0	21758	Multiple (see paper)	European		Filtered
CSTC_SinnottArmstrong_33462484_1	547	9.13348389146902e-45	PC8 (1e-12)	CSTC_SinnottArmstrong_33462484_1-hg38.tsv.gz	SinnottArmstrong	2021	33462484	CSTC	Cystatin C	BMK	363090	0	363090	Multiple (UKBB data & others)	Trans-ethnic	UKBB	Yes
CTACK_AholaOlli_27989323_1	566	0.0300831355520296	PC7 (3e-02)	CTACK_AholaOlli_27989323_1-hg38.tsv.gz	AholaOlli	2017	27989323	CTACK	Cutaneous T-cell attracting (CCL27, CTACK) levels	BMK	3631	0	3631	Multiple (Meta-analysis)	European (Finnish)	Ahola-Olli	No
CTACK_Traglia_30134952_2	165	0.745347832076118	PC12 (9e-02)	CTACK_Traglia_30134952_2-hg38.tsv.gz	Traglia	2018	30134952	CTACK	Cutaneous T-cell attracting (CCL27, CTACK) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CTACK_Traglia_30134952_3	166	0.528578301778558	PC11 (1e-01)	CTACK_Traglia_30134952_3-hg38.tsv.gz	Traglia	2018	30134952	CTACK	Cutaneous T-cell attracting (CCL27, CTACK) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CTSD_Folkersen_33067605_1	429	0.00422915348617505	PC5 (2e-03)	CTSD_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CTSD	Cathepsin D levels	BMK	21758	0	21758	Multiple (see paper)	European		Filtered
CTSL1_Folkersen_33067605_1	429	0.113711451383994	PC1 (1e-02)	CTSL1_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CTSL1	Cathepsin L1 levels	BMK	21758	0	21758	Multiple (see paper)	European		Filtered
CTS_Sakaue_doi1011012020102320213652_1	534	0.555965884907307	PC11 (2e-01)	CTS_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CTS	Carpal tunnel syndrome	OTH	178534	192	178726	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
CVALD_Sakaue_doi1011012020102320213652_1	534	0.297458257839405	PC12 (1e-01)	CVALD_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CVALD	Cardiac valvular disease	OTH	176731	1995	178726	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
CX3CL1_Folkersen_33067605_1	441	0.277006569203497	PC12 (2e-02)	CX3CL1_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	21758	0	21758	Multiple (see paper)	European		Filtered
CX3CL1_Hoglund_31727947_1	566	0.989781809276872	PC13 (2e-01)	CX3CL1_Hoglund_31727947_1-hg38.tsv.gz	Hoglund	2020	31727947	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	871	0	871	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CX3CL1_Hoglund_31727947_2	566	0.821823214544596	PC2 (2e-01)	CX3CL1_Hoglund_31727947_2-hg38.tsv.gz	Hoglund	2020	31727947	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	936	0	936	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CX3CL1_Traglia_30134952_2	165	0.186430333044543	PC2 (2e-02)	CX3CL1_Traglia_30134952_2-hg38.tsv.gz	Traglia	2018	30134952	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CX3CL1_Traglia_30134952_3	166	0.220295495759484	PC2 (4e-02)	CX3CL1_Traglia_30134952_3-hg38.tsv.gz	Traglia	2018	30134952	CX3CL1	Fractalkine, chemokine (C-X3-C motif) ligand 1 (CX3CL1) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CXCL5_Enroth_25147954_1	330	0.58454224535566	PC11 (8e-02)	CXCL5_Enroth_25147954_1-hg38.tsv.gz	Enroth	2014	25147954	CXCL5	C-X-C motif chemokine 5 (CXCL5, ENA78) levels	BMK	970	0	970	Illumina Infinium HapMap300v2 BeadChip/Illumina Human OmniExpress BeadChip	European (Sweden)		Filtered
CXCL5_Hoglund_31727947_1	566	0.228762647200436	PC4 (5e-02)	CXCL5_Hoglund_31727947_1-hg38.tsv.gz	Hoglund	2020	31727947	CXCL5	C-X-C motif chemokine 5 (CXCL5, ENA78) levels	BMK	871	0	871	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CXCL5_Hoglund_31727947_2	566	0.374762206897757	PC4 (3e-02)	CXCL5_Hoglund_31727947_2-hg38.tsv.gz	Hoglund	2020	31727947	CXCL5	C-X-C motif chemokine 5 (CXCL5, ENA78) levels	BMK	928	0	928	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CXCL5_Traglia_30134952_2	165	0.774526673473572	PC3 (1e-01)	CXCL5_Traglia_30134952_2-hg38.tsv.gz	Traglia	2018	30134952	CXCL5	C-X-C motif chemokine 5 (CXCL5, ENA78) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CXCL5_Traglia_30134952_3	166	0.637728403590898	PC11 (9e-02)	CXCL5_Traglia_30134952_3-hg38.tsv.gz	Traglia	2018	30134952	CXCL5	C-X-C motif chemokine 5 (CXCL5, ENA78) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CXCL6_Folkersen_33067605_1	441	0.313166666073371	PC11 (5e-02)	CXCL6_Folkersen_33067605_1-hg38.tsv.gz	Folkersen	2020	33067605	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	21758	0	21758	Multiple (see paper)	European		Filtered
CXCL6_Hoglund_31727947_1	566	0.634356635207383	PC2 (7e-02)	CXCL6_Hoglund_31727947_1-hg38.tsv.gz	Hoglund	2020	31727947	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	871	0	871	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CXCL6_Hoglund_31727947_2	566	0.738818235207781	PC5 (1e-01)	CXCL6_Hoglund_31727947_2-hg38.tsv.gz	Hoglund	2020	31727947	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	936	0	936	WGS, Illumina short read technology (X-ten)	European (Swedish)	Hoglund	No
CXCL6_Traglia_30134952_2	165	0.443350334465492	PC6 (6e-02)	CXCL6_Traglia_30134952_2-hg38.tsv.gz	Traglia	2018	30134952	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CXCL6_Traglia_30134952_3	166	0.392118073692616	PC6 (5e-02)	CXCL6_Traglia_30134952_3-hg38.tsv.gz	Traglia	2018	30134952	CXCL6	C-X-C motif chemokine 6 (CXCL6, CGP-2) levels	BMK	790	0	790		Trans-ethnic (North America)		Filtered
CYST_Sakaue_doi1011012020102320213652_1	534	0.740006136845343	PC7 (4e-01)	CYST_Sakaue_doi1011012020102320213652_1-hg38.tsv.gz	Sakaue	2021	doi1011012020102320213652	CYST	Cystitis	INF	175288	1665	176953	HumanOmniExpressExome BeadChip, Illumina HumanOmniExpress, HumanExome BeadChips	East Asian (Japanese)	BBJ	No
C_DIFFICILE_ENTEROCOLITIS_FinnGen_FinnGenR5_1	561	0.0407411837965173	PC3 (4e-04)	C_DIFFICILE_ENTEROCOLITIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	C_DIFFICILE_ENTEROCOLITIS	Enterocolitis due to Clostridium difficile (FinnGen)	INF	216071	1441	217512	Illumina and Affymetrix	European (Finnish)	FinnGen	No
C_STROKE_FinnGen_FinnGenR5_1	561	0.000986549401014865	PC11 (5e-04)	C_STROKE_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	C_STROKE	STROKE (FinnGen)	OTH	162201	18661	180862	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ACQHAEMOLYTICANAEMIANAS_FinnGen_FinnGenR5_1	561	0.845293029325072	PC9 (2e-01)	D3_ACQHAEMOLYTICANAEMIANAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ACQHAEMOLYTICANAEMIANAS	Other and unspecified acquired haemolytic anaemias (FinnGen)	OTH	218396	120	218516	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ACQHAEMOLYTICANAEMIA_FinnGen_FinnGenR5_1	561	0.390258854721124	PC5 (7e-02)	D3_ACQHAEMOLYTICANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ACQHAEMOLYTICANAEMIA	Acquired haemolytic anaemia (FinnGen)	OTH	218396	282	218678	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ACUTEPOSTBLEEDANAEMIA_FinnGen_FinnGenR5_1	561	0.191465901564256	PC7 (6e-02)	D3_ACUTEPOSTBLEEDANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ACUTEPOSTBLEEDANAEMIA	Acute posthaemorrhagic anaemia (FinnGen)	OTH	212238	471	212709	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_AGRANULOCYTOSIS_FinnGen_FinnGenR5_1	561	0.0407420415985038	PC5 (9e-03)	D3_AGRANULOCYTOSIS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_AGRANULOCYTOSIS	Agranulocytosis (FinnGen)	IMD	215755	1527	217282	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_AIHA_OTHER_FinnGen_FinnGenR5_1	561	0.556596288138248	PC3 (1e-01)	D3_AIHA_OTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_AIHA_OTHER	Other autoimmune haemolytic anaemias (FinnGen)	IMD	218396	127	218523	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ALLERGPURPURA_FinnGen_FinnGenR5_1	561	0.404718448535387	PC11 (6e-02)	D3_ALLERGPURPURA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ALLERGPURPURA	Allergic purpura (FinnGen)	IMD	216099	470	216569	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ANAEMIAINCHRONICDISEASE_FinnGen_FinnGenR5_1	561	0.827365282383243	PC2 (2e-01)	D3_ANAEMIAINCHRONICDISEASE_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIAINCHRONICDISEASE	Anaemia in chronic diseases classified elsewhere (FinnGen)	OTH	212238	187	212425	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ANAEMIANAS_FinnGen_FinnGenR5_1	561	0.0904670042176665	PC11 (6e-02)	D3_ANAEMIANAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIANAS	Other and unspecified anaemias (FinnGen)	OTH	212238	5929	218167	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ANAEMIA_B12_DEF_FinnGen_FinnGenR5_1	561	3.62055885649146e-34	PC3 (6e-20)	D3_ANAEMIA_B12_DEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIA_B12_DEF	Vitamin B12 deficiency anaemia (FinnGen)	OTH	211115	1707	212822	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
D3_ANAEMIA_FinnGen_FinnGenR5_1	561	5.21921384690197e-19	PC3 (2e-09)	D3_ANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIA	Anaemias (FinnGen)	OTH	59827	12434	72261	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
D3_ANAEMIA_IRONDEF_BLOODLOSS_FinnGen_FinnGenR5_1	561	0.153300294583044	PC13 (3e-03)	D3_ANAEMIA_IRONDEF_BLOODLOSS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIA_IRONDEF_BLOODLOSS	Iron deficiency anaemia secondary to blood loss (chronic) (FinnGen)	OTH	211115	2332	213447	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ANAEMIA_IRONDEF_FinnGen_FinnGenR5_1	561	0.00783471763952905	PC13 (1e-03)	D3_ANAEMIA_IRONDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIA_IRONDEF	Iron deficiency anaemia (FinnGen)	OTH	211115	6087	217202	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_ANAEMIA_IRONDEF_NAS_FinnGen_FinnGenR5_1	561	0.0141631785672033	PC13 (1e-02)	D3_ANAEMIA_IRONDEF_NAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ANAEMIA_IRONDEF_NAS	Other and unspecified iron deficiency (FinnGen)	OTH	211115	4321	215436	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_APLASTICANDOTHANAEMIA_FinnGen_FinnGenR5_1	561	0.193833689630887	PC11 (9e-02)	D3_APLASTICANDOTHANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_APLASTICANDOTHANAEMIA	Aplastic and other anaemias (FinnGen)	OTH	212238	6554	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_BLOODNAS_FinnGen_FinnGenR5_1	561	0.542237660544364	PC6 (1e-01)	D3_BLOODNAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_BLOODNAS	Other and unspecified diseases of blood and blood-forming organs (FinnGen)	OTH	215755	253	216008	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_BLOODOTHER_FinnGen_FinnGenR5_1	561	0.39314905763214	PC12 (2e-02)	D3_BLOODOTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_BLOODOTHER	Other diseases of blood and blood-forming organs (FinnGen)	OTH	215755	3037	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_BLOOD_FinnGen_FinnGenR5_1	561	1.27330976430498e-19	PC3 (3e-10)	D3_BLOOD_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_BLOOD	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (FinnGen)	IMD	199348	19444	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
D3_COAGDEFNAS_FinnGen_FinnGenR5_1	561	0.771393926061106	PC7 (2e-01)	D3_COAGDEFNAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_COAGDEFNAS	Other and unspecified coagulation defects (FinnGen)	OTH	216099	551	216650	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_COAGDEF_FinnGen_FinnGenR5_1	561	0.853574202220594	PC11 (1e-01)	D3_COAGDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_COAGDEF	Chronic Coagulation defects (FinnGen)	OTH	218511	281	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_COAGDEF_PURPUR_HAEMORRHAGIC_FinnGen_FinnGenR5_1	561	0.181595384678562	PC12 (2e-02)	D3_COAGDEF_PURPUR_HAEMORRHAGIC_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_COAGDEF_PURPUR_HAEMORRHAGIC	Coagulation defects, purpura and other haemorrhagic conditions (FinnGen)	OTH	216099	2693	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_COAGOTHER_FinnGen_FinnGenR5_1	561	0.417001644520767	PC7 (6e-02)	D3_COAGOTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_COAGOTHER	Other coagulation defects (FinnGen)	OTH	216099	864	216963	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_COMBIMMUDEF_FinnGen_FinnGenR5_1	561	0.0384200671364332	PC4 (2e-02)	D3_COMBIMMUDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_COMBIMMUDEF	Combined immunodeficiencies (FinnGen)	IMD	215712	171	215883	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_CVID_FinnGen_FinnGenR5_1	561	0.0724440748222515	PC1 (2e-02)	D3_CVID_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_CVID	Common variable immunodeficiency (FinnGen)	IMD	215712	96	215808	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_DEF_IGG_FinnGen_FinnGenR5_1	561	0.0443275080410322	PC11 (4e-03)	D3_DEF_IGG_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_DEF_IGG	Selective deficiency of immunoglobulin G [IgG] subclasses (FinnGen)	IMD	215712	99	215811	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_EOSINOPHILIA_FinnGen_FinnGenR5_1	561	0.426989977612734	PC13 (3e-02)	D3_EOSINOPHILIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_EOSINOPHILIA	Eosinophilia (FinnGen)	IMD	215755	182	215937	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_HAEMOLYTICANAEMIA_FinnGen_FinnGenR5_1	561	0.258571828650642	PC5 (4e-03)	D3_HAEMOLYTICANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_HAEMOLYTICANAEMIA	Haemolytic anaemias (FinnGen)	OTH	218396	396	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_HAEMORRHAGCIRGUANTICO_FinnGen_FinnGenR5_1	561	0.991618469474193	PC4 (2e-01)	D3_HAEMORRHAGCIRGUANTICO_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_HAEMORRHAGCIRGUANTICO	Haemorrhagic disorder due to circulating anticoagulants (FinnGen)	OTH	216099	117	216216	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_HAEMORRHAGICNAS_FinnGen_FinnGenR5_1	561	0.857880741546325	PC8 (7e-02)	D3_HAEMORRHAGICNAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_HAEMORRHAGICNAS	Otherand unspecified haemorrhagic conditions (FinnGen)	OTH	216099	192	216291	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_HEREDOTHCLOFACTORS_FinnGen_FinnGenR5_1	561	0.536489484458583	PC1 (8e-02)	D3_HEREDOTHCLOFACTORS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_HEREDOTHCLOFACTORS	Hereditary deficiency of other clotting factors (FinnGen)	OTH	216099	99	216198	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUDEFANTIBODYNAS_FinnGen_FinnGenR5_1	561	0.452119545646982	PC12 (7e-02)	D3_IMMUDEFANTIBODYNAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUDEFANTIBODYNAS	Other and unspecified immunodeficiencies with predominantly antibody defects (FinnGen)	IMD	215712	167	215879	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUDEFANTIBODY_FinnGen_FinnGenR5_1	561	0.147239751161751	PC13 (2e-02)	D3_IMMUDEFANTIBODY_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUDEFANTIBODY	Immunodeficiency with predominantly antibody defects (FinnGen)	IMD	215712	368	216080	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUDEFOTHER_FinnGen_FinnGenR5_1	561	0.422936021559754	PC12 (8e-02)	D3_IMMUDEFOTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUDEFOTHER	Other immunodeficiencies (FinnGen)	IMD	215712	137	215849	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUDEF_FinnGen_FinnGenR5_1	561	0.0239511824546911	PC13 (3e-03)	D3_IMMUDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUDEF	Immunodeficiencies (FinnGen)	IMD	218089	703	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUNEMECHANISMNAS_FinnGen_FinnGenR5_1	561	0.0285249368099327	PC13 (3e-03)	D3_IMMUNEMECHANISMNAS_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUNEMECHANISMNAS	Other and unspecified disorders involving the immune mechanism, not elsewhere classified (FinnGen)	IMD	215712	374	216086	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUNEMECHANISMOTHER_FinnGen_FinnGenR5_1	561	0.0644888077330932	PC13 (5e-03)	D3_IMMUNEMECHANISMOTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUNEMECHANISMOTHER	Other disorders involving the immune mechanism, not elsewhere classified (FinnGen)	IMD	215712	399	216111	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_IMMUNEMECHANISM_FinnGen_FinnGenR5_1	561	4.46872155471882e-09	PC13 (2e-06)	D3_IMMUNEMECHANISM_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_IMMUNEMECHANISM	Certain disorders involving the immune mechanism (FinnGen)	IMD	215712	3080	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
D3_ITP_FinnGen_FinnGenR5_1	561	0.405065807807627	PC12 (6e-02)	D3_ITP_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_ITP	Idiopathic thrombocytopenic purpura (FinnGen)	IMD	216099	394	216493	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_KELA_IMMUDEF_FinnGen_FinnGenR5_1	561	0.160173578168592	PC6 (4e-02)	D3_KELA_IMMUDEF_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_KELA_IMMUDEF	Kela reimbursement Agammaglobulinemia (D80-84) (FinnGen)	IMD	215712	113	215825	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_NONHEREDHYPOGAMMA_FinnGen_FinnGenR5_1	561	0.291242075488463	PC3 (4e-02)	D3_NONHEREDHYPOGAMMA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia (FinnGen)	IMD	215712	142	215854	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_NUTRIANAEMIAOTHER_FinnGen_FinnGenR5_1	561	0.157991006005871	PC12 (5e-03)	D3_NUTRIANAEMIAOTHER_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_NUTRIANAEMIAOTHER	Other nutritional anaemias (FinnGen)	OTH	211115	145	211260	Illumina and Affymetrix	European (Finnish)	FinnGen	No
D3_NUTRIANAEMIA_FinnGen_FinnGenR5_1	561	1.07715972997891e-12	PC3 (1e-08)	D3_NUTRIANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_NUTRIANAEMIA	Nutritional anaemias (FinnGen)	OTH	211115	7677	218792	Illumina and Affymetrix	European (Finnish)	FinnGen	Yes
D3_OTHERANAEMIA_FinnGen_FinnGenR5_1	561	0.117697708774607	PC13 (6e-02)	D3_OTHERANAEMIA_FinnGen_FinnGenR5_1-hg38.tsv.gz	FinnGen	2020	FinnGenR5	D3_OTHERANAEMIA	Other anaemias (FinnGen)	OTH	212238	6005	218243	Illumina and Affymetrix	European (Finnish)	FinnGen	No
