Trait	nSNP	overall_p	mscomp	First_Author	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	Public	Label
CONDER_Sakaue_doi1011012020102320213652_1	534	0.639616938897832	PC4 (3e-01)	Sakaue	doi1011012020102320213652	CONDER	Contact dermatitis	IMD	161777	247	162024	East Asian (Japanese)	Y	Contact dermatitis
COPD_EARLY_EXMORE_FinnGen_FinnGenR7_1	562	5.10482248258332e-07	PC13 (1e-10)	FinnGen	FinnGenR7	COPD_EARLY_EXMORE	Early onset COPD (more controls excluded) (FinnGen)	IMD	181596	5587	187183	European (Finnish)	Y	Early onset COPD (more controls excluded)
COPD_EARLY_FinnGen_FinnGenR7_1	562	5.98720539920592e-05	PC13 (2e-07)	FinnGen	FinnGenR7	COPD_EARLY	Early onset COPD (FinnGen)	IMD	296473	5587	302060	European (Finnish)	Y	Early onset COPD
COPD_HOSPITAL_FinnGen_FinnGenR7_1	562	5.08695680767564e-08	PC13 (8e-12)	FinnGen	FinnGenR7	COPD_HOSPITAL	COPD, hospital admissions (FinnGen)	IMD	296735	12419	309154	European (Finnish)	Y	COPD, hospital admissions
COPD_INSUFFICIENCY_FinnGen_FinnGenR7_1	562	0.0392245875187167	PC13 (2e-04)	FinnGen	FinnGenR7	COPD_INSUFFICIENCY	COPD-related respiratory insufficiency (FinnGen)	IMD	296473	2297	298770	European (Finnish)	Y	COPD-related respiratory insufficiency
COPD_Kubo_BBJ_1	529	0.627889650508307	PC8 (2e-01)	Kubo	BBJ	COPD	Chronic obstructive pulmonary disease	IMD	201592	3315	204907	East Asian (Japanese)	Y	Chronic obstructive pulmonary disease
COPD_LATER_EXMORE_FinnGen_FinnGenR7_1	562	0.00630023032606158	PC13 (7e-05)	FinnGen	FinnGenR7	COPD_LATER_EXMORE	Later onset COPD (more controls excluded) (FinnGen)	IMD	7944	7094	15038	European (Finnish)	Y	Later onset COPD (more controls excluded)
COPD_LATER_FinnGen_FinnGenR7_1	562	0.0220398376811914	PC13 (1e-03)	FinnGen	FinnGenR7	COPD_LATER	Later onset COPD (FinnGen)	IMD	18856	7094	25950	European (Finnish)	Y	Later onset COPD
COPD_MODE_FinnGen_FinnGenR7_1	562	2.70452565844437e-11	PC13 (2e-15)	FinnGen	FinnGenR7	COPD_MODE	COPD (mode) (FinnGen)	IMD	182685	12681	195366	European (Finnish)	Y	COPD (mode)
COPD_Sakaue_doi1011012020102320213652_1	534	0.817825902784229	PC2 (3e-01)	Sakaue	doi1011012020102320213652	COPD	Chronic obstructive pulmonary disease	IMD	162653	4017	166670	East Asian (Japanese)	Y	Chronic obstructive pulmonary disease
CREST_FinnGen_FinnGenR7_1	562	0.000303713099251743	PC2 (8e-06)	FinnGen	FinnGenR7	CREST	CR(E)ST syndrome (FinnGen)	IMD	308875	279	309154	European (Finnish)	Y	CR(E)ST syndrome
CROHN_ARTHR_FinnGen_FinnGenR7_1	562	0.0358466286258476	PC3 (2e-02)	FinnGen	FinnGenR7	CROHN_ARTHR	Arthropathy in Crohn disease (FinnGen)	IMD	306336	200	306536	European (Finnish)	Y	Arthropathy in Crohn disease
D3_AGRANULOCYTOSIS_FinnGen_FinnGenR7_1	562	0.0279663453962458	PC5 (7e-03)	FinnGen	FinnGenR7	D3_AGRANULOCYTOSIS	Agranulocytosis (FinnGen)	IMD	304076	2491	306567	European (Finnish)	Y	Agranulocytosis
D3_AIHA_OTHER_FinnGen_FinnGenR7_1	562	0.0979239860909331	PC2 (3e-02)	FinnGen	FinnGenR7	D3_AIHA_OTHER	Other autoimmune haemolytic anaemias (FinnGen)	IMD	308515	200	308715	European (Finnish)	Y	Other autoimmune haemolytic anaemias
D3_ALLERGPURPURA_FinnGen_FinnGenR7_1	562	0.0922123527182218	PC13 (5e-03)	FinnGen	FinnGenR7	D3_ALLERGPURPURA	Allergic purpura (FinnGen)	IMD	304806	690	305496	European (Finnish)	Y	Allergic purpura
D3_COMBIMMUDEF_FinnGen_FinnGenR7_1	562	0.125565544392149	PC4 (1e-02)	FinnGen	FinnGenR7	D3_COMBIMMUDEF	Combined immunodeficiencies (FinnGen)	IMD	304494	260	304754	European (Finnish)	Y	Combined immunodeficiencies
D3_COMPLEMENTDEF_FinnGen_FinnGenR7_1	562	0.638667496375571	PC11 (1e-01)	FinnGen	FinnGenR7	D3_COMPLEMENTDEF	Defects in the complement system (FinnGen)	IMD	304494	132	304626	European (Finnish)	Y	Defects in the complement system
D3_CVID_FinnGen_FinnGenR7_1	562	0.0817081330139985	PC13 (3e-02)	FinnGen	FinnGenR7	D3_CVID	Common variable immunodeficiency (FinnGen)	IMD	304494	132	304626	European (Finnish)	Y	Common variable immunodeficiency
D3_DEF_IGG_FinnGen_FinnGenR7_1	562	0.0506695297604282	PC11 (1e-03)	FinnGen	FinnGenR7	D3_DEF_IGG	Selective deficiency of immunoglobulin G [IgG] subclasses (FinnGen)	IMD	304494	137	304631	European (Finnish)	Y	Selective deficiency of immunoglobulin G [IgG] subclasses
D3_DEF_IIGA_FinnGen_FinnGenR7_1	562	0.731017040554586	PC7 (1e-01)	FinnGen	FinnGenR7	D3_DEF_IIGA	Selective deficiency of immunoglobulin A [IgA]y (FinnGen)	IMD	304494	86	304580	European (Finnish)	Y	Selective deficiency of immunoglobulin A [IgA]y
D3_EOSINOPHILIA_FinnGen_FinnGenR7_1	562	0.136889832041869	PC11 (4e-02)	FinnGen	FinnGenR7	D3_EOSINOPHILIA	Eosinophilia (FinnGen)	IMD	304076	303	304379	European (Finnish)	Y	Eosinophilia
D3_IMMUDEFANTIBODYNAS_FinnGen_FinnGenR7_1	562	0.119298955123256	PC11 (1e-02)	FinnGen	FinnGenR7	D3_IMMUDEFANTIBODYNAS	Other and unspecified immunodeficiencies with predominantly antibody defects (FinnGen)	IMD	304494	248	304742	European (Finnish)	Y	Other and unspecified immunodeficiencies with predominantly antibody defects
D3_IMMUDEFANTIBODY_FinnGen_FinnGenR7_1	562	0.0745290517883013	PC13 (5e-03)	FinnGen	FinnGenR7	D3_IMMUDEFANTIBODY	Immunodeficiency with predominantly antibody defects (FinnGen)	IMD	304494	553	305047	European (Finnish)	Y	Immunodeficiency with predominantly antibody defects
D3_IMMUDEFOTHER_FinnGen_FinnGenR7_1	562	0.355519116995249	PC7 (6e-02)	FinnGen	FinnGenR7	D3_IMMUDEFOTHER	Other immunodeficiencies (FinnGen)	IMD	304494	223	304717	European (Finnish)	Y	Other immunodeficiencies
D3_IMMUDEF_FinnGen_FinnGenR7_1	562	0.015057528750065	PC13 (8e-04)	FinnGen	FinnGenR7	D3_IMMUDEF	Immunodeficiencies (FinnGen)	IMD	308089	1065	309154	European (Finnish)	Y	Immunodeficiencies
D3_IMMUNEMECHANISMOTHER_FinnGen_FinnGenR7_1	562	0.0274743789732179	PC8 (5e-03)	FinnGen	FinnGenR7	D3_IMMUNEMECHANISMOTHER	Other disorders involving the immune mechanism, not elsewhere classified (FinnGen)	IMD	304494	604	305098	European (Finnish)	Y	Other disorders involving the immune mechanism, not elsewhere classified
D3_ITP_FinnGen_FinnGenR7_1	562	0.000229083528716342	PC3 (1e-04)	FinnGen	FinnGenR7	D3_ITP	Idiopathic thrombocytopenic purpura (FinnGen)	IMD	304806	605	305411	European (Finnish)	Y	Idiopathic thrombocytopenic purpura
D3_KELA_IMMUDEF_FinnGen_FinnGenR7_1	562	0.0461746956497514	PC3 (1e-02)	FinnGen	FinnGenR7	D3_KELA_IMMUDEF	Kela reimbursement Agammaglobulinemia (D80-84) (FinnGen)	IMD	304494	159	304653	European (Finnish)	Y	Kela reimbursement Agammaglobulinemia (D80-84)
D3_NONHEREDHYPOGAMMA_FinnGen_FinnGenR7_1	562	0.456583372982984	PC6 (5e-02)	FinnGen	FinnGenR7	D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia (FinnGen)	IMD	304494	216	304710	European (Finnish)	Y	Nonhereditary hypogammaglobulinemia
D3_OTHERWHITECELL_FinnGen_FinnGenR7_1	562	0.677035018681155	PC10 (4e-02)	FinnGen	FinnGenR7	D3_OTHERWHITECELL	Other disorders of white blood cells (FinnGen)	IMD	304076	1086	305162	European (Finnish)	Y	Other disorders of white blood cells
D3_SARCOIDOSIS_FinnGen_FinnGenR7_1	562	1.19205905979568e-11	PC3 (9e-09)	FinnGen	FinnGenR7	D3_SARCOIDOSIS	Sarcoidosis (FinnGen)	IMD	304494	3103	307597	European (Finnish)	Y	Sarcoidosis
D3_WHITEBLOODCELLNAS_FinnGen_FinnGenR7_1	562	0.27709149787169	PC8 (7e-02)	FinnGen	FinnGenR7	D3_WHITEBLOODCELLNAS	Other and unspecified disorders of white blood cells (FinnGen)	IMD	304076	775	304851	European (Finnish)	Y	Other and unspecified disorders of white blood cells
DERMATOPOLY_FG_FinnGen_FinnGenR7_1	562	6.3832622281479e-06	PC13 (2e-04)	FinnGen	FinnGenR7	DERMATOPOLY_FG	Dermatopolymyositis (FG) (FinnGen)	IMD	238484	309	238793	European (Finnish)	Y	Dermatopolymyositis (FinnGen)
DMY_Miller_26291516_1	564	0.000178261886875691	PC1 (2e-04)	Miller	26291516	DMY	Dermatomyositis	IMD	4724	705	5429	European	N	Dermatomyositis (Miller)
DMY_Rothwell_up_1	479	5.68078820289897e-06	PC1 (2e-04)	Rothwell	36580032	DMY	Dermatomyositis	IMD	3268	817	4085	European	N	Dermatomyositis (Rothwell)
DM_NEOVASCULAR_GLAUCOMA_FinnGen_FinnGenR7_1	562	0.397933657984121	PC3 (1e-02)	FinnGen	FinnGenR7	DM_NEOVASCULAR_GLAUCOMA	Neovascular glaucoma (FinnGen)	IMD	296912	841	297753	European (Finnish)	Y	Neovascular glaucoma
E4_DM1COMA_FinnGen_FinnGenR7_1	562	1.83537448431767e-60	PC1 (2e-18)	FinnGen	FinnGenR7	E4_DM1COMA	Type 1 diabetes with coma (FinnGen)	IMD	255466	1732	257198	European (Finnish)	Y	Type 1 diabetes with coma
E4_DM1KETO_FinnGen_FinnGenR7_1	562	1.91088436436101e-66	PC1 (4e-26)	FinnGen	FinnGenR7	E4_DM1KETO	Type 1 diabetes with ketoacidosis (FinnGen)	IMD	255466	1781	257247	European (Finnish)	Y	Type 1 diabetes with ketoacidosis
E4_DM1NASCOMP_FinnGen_FinnGenR7_1	562	8.90340751354151e-144	PC1 (8e-50)	FinnGen	FinnGenR7	E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications (FinnGen)	IMD	255466	5055	260521	European (Finnish)	Y	Type 1 diabetes with other specified/multiple/unspecified complications
E4_DM1NEU_FinnGen_FinnGenR7_1	562	4.94928042136843e-25	PC1 (3e-09)	FinnGen	FinnGenR7	E4_DM1NEU	Type 1 diabetes with neurological complications (FinnGen)	IMD	255466	867	256333	European (Finnish)	Y	Type 1 diabetes with neurological complications
E4_DM1NOCOMP_FinnGen_FinnGenR7_1	562	1.76906930793802e-197	PC1 (1e-59)	FinnGen	FinnGenR7	E4_DM1NOCOMP	Type 1 diabetes without complications (FinnGen)	IMD	255466	7205	262671	European (Finnish)	Y	Type 1 diabetes without complications
E4_DM1OPTH_FinnGen_FinnGenR7_1	562	5.96359086194556e-152	PC1 (9e-42)	FinnGen	FinnGenR7	E4_DM1OPTH	Type 1 diabetes with ophthalmic complications (FinnGen)	IMD	255466	4204	259670	European (Finnish)	Y	Type 1 diabetes with ophthalmic complications
E4_DM1PERIPH_FinnGen_FinnGenR7_1	562	2.11570150526895e-10	PC1 (1e-04)	FinnGen	FinnGenR7	E4_DM1PERIPH	Type 1 diabetes with peripheral circulatory complications (FinnGen)	IMD	255466	546	256012	European (Finnish)	Y	Type 1 diabetes with peripheral circulatory complications
E4_DM1REN_FinnGen_FinnGenR7_1	562	5.398773611421e-49	PC1 (2e-18)	FinnGen	FinnGenR7	E4_DM1REN	Type 1 diabetes with renal complications (FinnGen)	IMD	255466	1342	256808	European (Finnish)	Y	Type 1 diabetes with renal complications
E4_DM1_FinnGen_FinnGenR7_1	562	6.32927625948927e-187	PC1 (2e-59)	FinnGen	FinnGenR7	E4_DM1	Type 1 diabetes (FinnGen)	IMD	255466	8671	264137	European (Finnish)	Y	Type 1 diabetes
E4_DM1_STRICT_FinnGen_FinnGenR7_1	562	3.60018373784425e-126	PC1 (8e-39)	FinnGen	FinnGenR7	E4_DM1_STRICT	Type 1 diabetes, strict (exclude DM2) (FinnGen)	IMD	256173	3678	259851	European (Finnish)	Y	Type 1 diabetes, strict (exclude DM2)
E4_GRAVES_OPHT_STRICT_FinnGen_FinnGenR7_1	562	1.84612661373512e-07	PC3 (8e-04)	FinnGen	FinnGenR7	E4_GRAVES_OPHT_STRICT	Graves opthalmopathy, strict (FinnGen)	IMD	308718	436	309154	European (Finnish)	Y	Graves opthalmopathy, strict
E4_GRAVES_STRICT_FinnGen_FinnGenR7_1	562	4.9348571864528e-09	PC1 (8e-07)	FinnGen	FinnGenR7	E4_GRAVES_STRICT	Graves disease, strict definition (FinnGen)	IMD	6691	2311	9002	European (Finnish)	Y	Graves disease, strict definition
E4_HYPERPARA_FinnGen_FinnGenR7_1	562	0.0161892134444933	PC11 (7e-04)	FinnGen	FinnGenR7	E4_HYPERPARA	Hyperparathyroidism (FinnGen)	IMD	297590	4386	301976	European (Finnish)	Y	Hyperparathyroidism
E4_HYPOPARA_FinnGen_FinnGenR7_1	562	0.120564664540261	PC10 (2e-02)	FinnGen	FinnGenR7	E4_HYPOPARA	Hypoparathyroidism (FinnGen)	IMD	297590	709	298299	European (Finnish)	Y	Hypoparathyroidism
E4_HYTHYNAS_FinnGen_FinnGenR7_1	562	2.75460180943037e-260	PC1 (1e-86)	FinnGen	FinnGenR7	E4_HYTHYNAS	Hypothyroidism,other/unspecified (FinnGen)	IMD	263704	38554	302258	European (Finnish)	Y	Hypothyroidism,other/unspecified
E4_HYTHYPOSTINF_FinnGen_FinnGenR7_1	562	1.23936698146955e-06	PC1 (2e-04)	FinnGen	FinnGenR7	E4_HYTHYPOSTINF	Postinfectious hypothyroidism (FinnGen)	IMD	263704	134	263838	European (Finnish)	Y	Postinfectious hypothyroidism
E4_HYTHY_AI_STRICT_FinnGen_FinnGenR7_1	562	1.22623266799606e-306	PC1 (7e-87)	FinnGen	FinnGenR7	E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune (FinnGen)	IMD	227415	33422	260837	European (Finnish)	Y	Hypothyroidism, strict autoimmune
E4_HYTHY_AI_STRICT_PURCH_FinnGen_FinnGenR7_1	562	2.37545396504524e-251	PC1 (8e-82)	FinnGen	FinnGenR7	E4_HYTHY_AI_STRICT_PURCH	Hypothyroidism, strict autoimmune, 3 medication purchases required (FinnGen)	IMD	271027	33059	304086	European (Finnish)	Y	Hypothyroidism, strict autoimmune, 3 medication purchases required
E4_THYROIDITAUTOIM_FinnGen_FinnGenR7_1	562	5.62665490765888e-17	PC1 (1e-07)	FinnGen	FinnGenR7	E4_THYROIDITAUTOIM	Autoimmune thyroiditis (FinnGen)	IMD	263704	366	264070	European (Finnish)	Y	Autoimmune thyroiditis
E4_THYROIDITNAS_FinnGen_FinnGenR7_1	562	0.105470433716647	PC13 (2e-02)	FinnGen	FinnGenR7	E4_THYROIDITNAS	Thyroiditis, unspecified (FinnGen)	IMD	263704	330	264034	European (Finnish)	Y	Thyroiditis, unspecified
E4_THYROIDITSUBAC_FinnGen_FinnGenR7_1	562	0.302832374922841	PC3 (1e-02)	FinnGen	FinnGenR7	E4_THYROIDITSUBAC	Subacute thyroiditis (FinnGen)	IMD	263704	598	264302	European (Finnish)	Y	Subacute thyroiditis
EGPAANCAn_Lyons_31719529_1	566	1.44939471086705e-18	PC13 (3e-17)	Lyons	31719529	EGPAANCAn	ANCA negative EGPA	IMD	6688	352	7040	European	Y	ANCA negative EGPA
EGPAMPO_Lyons_31719529_1	566	1.36908082128368e-05	PC13 (2e-06)	Lyons	31719529	EGPAMPO	MPO+ EGPA	IMD	6688	159	6847	European	Y	MPO+ EGPA
EGPA_Lyons_31719529_1	566	8.67660267572517e-24	PC13 (3e-20)	Lyons	31719529	EGPA	Eosinophilic Granulomatosis with Polyangiitis	IMD	6688	534	7222	European	Y	Eosinophilic Granulomatosis with Polyangiitis
EOE_Chang_34506852_1	566	9.31063780695452e-16	PC13 (3e-11)	Chang	34506852	EOE	Eosinophilic Esophagitis	IMD	13634	1930	15564	European	Y	Eosinophilic Esophagitis
ESOSINOPHIL_DISEASE_FinnGen_FinnGenR7_1	562	0.102991425532388	PC13 (4e-02)	FinnGen	FinnGenR7	ESOSINOPHIL_DISEASE	Eosinophilic disease (BM) (FinnGen)	IMD	182685	303	182988	European (Finnish)	Y	Eosinophilic disease (BM)
FELTY_FinnGen_FinnGenR7_1	562	0.000191005607879172	PC1 (2e-04)	FinnGen	FinnGenR7	FELTY	Felty syndrome (FinnGen)	IMD	301860	123	301983	European (Finnish)	Y	Felty syndrome
FOODAL_Sakaue_doi1011012020102320213652_1	534	0.58121258988299	PC12 (4e-02)	Sakaue	doi1011012020102320213652	FOODAL	Food allergy	IMD	165939	3777	169716	East Asian (Japanese)	Y	Food allergy
G6_GUILBAR_FinnGen_FinnGenR7_1	562	0.774710130325767	PC11 (5e-02)	FinnGen	FinnGenR7	G6_GUILBAR	Guillain-Barre syndrome (FinnGen)	IMD	304249	329	304578	European (Finnish)	Y	Guillain-Barre syndrome
G6_MS_FinnGen_FinnGenR7_1	562	9.3530381873924e-32	PC12 (1e-11)	FinnGen	FinnGenR7	G6_MS	MS-disease / Multiple Sclerosis (FinnGen)	IMD	306615	1676	308291	European (Finnish)	Y	Multiple Sclerosis
G6_MYASTHENIA_FinnGen_FinnGenR7_1	562	0.194370421826663	PC9 (2e-02)	FinnGen	FinnGenR7	G6_MYASTHENIA	Myasthenia gravis (FinnGen)	IMD	306543	329	306872	European (Finnish)	Y	Myasthenia gravis
GIANT_CELL_TEMP_ARTERITIS_FinnGen_FinnGenR7_1	562	0.0886537042886617	PC8 (3e-02)	FinnGen	FinnGenR7	GIANT_CELL_TEMP_ARTERITIS	Giant cell arteritis with polymyalgia rheumatica (FinnGen)	IMD	307855	685	308540	European (Finnish)	Y	Giant cell arteritis with polymyalgia rheumatica
GOUT_FinnGen_FinnGenR7_1	562	0.000158636363297588	PC8 (3e-04)	FinnGen	FinnGenR7	GOUT	Gout	IMD	284844	6031	290875	European (Finnish)	Y	Gout
GOUT_IDIO_FinnGen_FinnGenR7_1	562	0.0394791171998238	PC13 (1e-02)	FinnGen	FinnGenR7	GOUT_IDIO	Idiopathic gout (FinnGen)	IMD	303123	1541	304664	European (Finnish)	Y	Idiopathic gout
GOUT_Koettgen_23263486_1	564	0.865103752547879	PC3 (1e-01)	Koettgen	23263486	GOUT	Gout	IMD	67259	2115	69374	European	Y	Gout
GOUT_NOS_FinnGen_FinnGenR7_1	562	0.00167817306390219	PC8 (1e-03)	FinnGen	FinnGenR7	GOUT_NOS	Gout, unspecified (FinnGen)	IMD	303123	3850	306973	European (Finnish)	Y	Gout, unspecified
GOUT_STRICT_FinnGen_FinnGenR7_1	562	0.00613207322032776	PC8 (8e-03)	FinnGen	FinnGenR7	GOUT_STRICT	Gout, strict definition (FinnGen)	IMD	304399	3290	307689	European (Finnish)	Y	Gout, strict definition
GRAVD_Kubo_BBJ_1	529	3.24615345455067e-08	PC13 (2e-03)	Kubo	BBJ	GRAVD	Graves' disease	IMD	210277	2176	212453	East Asian (Japanese)	Y	Graves' disease
GRAVD_Okada_UP_1	529	3.24615345455067e-08	PC13 (2e-03)	Okada	UP	GRAVD	Graves' disease	IMD	210277	2176	212453	East Asian (Japanese)	N	Graves' disease
GRAVD_Okada_UP_2	529	7.85167013473043e-05	PC13 (3e-02)	Okada	UP	GRAVD	Graves' disease	IMD	101527	1579	103106	East Asian (Japanese)	N	Graves' disease
GRAVD_Okada_UP_3	529	0.00227264296939556	PC13 (2e-02)	Okada	UP	GRAVD	Graves' disease	IMD	108750	597	109347	East Asian (Japanese)	N	Graves' disease
GRAVD_Sakaue_doi1011012020102320213652_1	534	1.14680604037636e-06	PC13 (6e-03)	Sakaue	doi1011012020102320213652	GRAVD	Graves' disease	IMD	172656	2809	175465	East Asian (Japanese)	Y	Graves' disease
H7_ALLERGICCONJUNCTIVITIS_FinnGen_FinnGenR7_1	562	3.18205272669505e-25	PC13 (4e-19)	FinnGen	FinnGenR7	H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis (FinnGen)	IMD	293587	15567	309154	European (Finnish)	Y	Allergic conjunctivitis
H7_CONJUNCTIVITISATOPIC_FinnGen_FinnGenR7_1	562	0.040939586894061	PC6 (7e-04)	FinnGen	FinnGenR7	H7_CONJUNCTIVITISATOPIC	Atopic conjunctivitis (FinnGen)	IMD	285087	926	286013	European (Finnish)	Y	Atopic conjunctivitis
HASHID_Sakaue_doi1011012020102320213652_1	534	0.292882330512	PC11 (2e-01)	Sakaue	doi1011012020102320213652	HASHID	Hashimoto's disease	IMD	172656	537	173193	East Asian (Japanese)	Y	Hashimoto's disease
HYPERTHY_Sakaue_doi1011012020102320213652_1	534	0.00118137221140668	PC12 (2e-01)	Sakaue	doi1011012020102320213652	HYPERTHY	Hyperthyroidism	IMD	172656	994	173650	East Asian (Japanese)	Y	Hyperthyroidism
HYPOTHYROIDISM_FinnGen_FinnGenR7_1	562	5.47853946819047e-180	PC1 (3e-54)	FinnGen	FinnGenR7	HYPOTHYROIDISM	Hypothyroidism (congenital or acquired) (FinnGen)	IMD	76464	38624	115088	European (Finnish)	Y	Hypothyroidism (congenital or acquired)
HYPOTHY_Sakaue_doi1011012020102320213652_1	534	0.365912899250337	PC13 (1e-01)	Sakaue	doi1011012020102320213652	HYPOTHY	Hypothyroidism	IMD	172656	1114	173770	East Asian (Japanese)	Y	Hypothyroidism
IBD_Brant_27693347_1	561	2.67332784068569e-28	PC1 (2e-15)	Brant	27693347	IBD	Inflammatory Bowel Disease	IMD	5002	116	5118	African (African Americans)	Y	Inflammatory Bowel Disease
IBD_DeLange_28067908_1	565	0	PC1 (0e+00)	DeLange	28067908	IBD	Inflammatory Bowel Disease	IMD	34915	25042	59957	European	Y	Inflammatory Bowel Disease
IBD_Liu_26192919_1	565	0	PC1 (1e-221)	Liu	26192919	IBD	Inflammatory Bowel Disease	IMD	21770	12882	34652	European	Y	Inflammatory Bowel Disease
IBM_Rothwell_up_1	479	0.0187965959133732	PC4 (1e-02)	Rothwell	36580032	IBM	Inclusion Body Myositis	IMD	1008	252	1260	European	N	Inclusion Body Myositis (Rothwell)
IGAD_Bronson_27723758_1	566	5.34558437686721e-16	PC4 (5e-06)	Bronson	27723758	IGAD	IgA deficiency	IMD	4852	1635	6487	European	Y	IgA deficiency
IGAN_Sakaue_doi1011012020102320213652_1	534	0.413893010151748	PC6 (5e-01)	Sakaue	doi1011012020102320213652	IGAN	IgA nephropathy	IMD	175288	71	175359	East Asian (Japanese)	Y	IgA nephropathy
IIM_Rothwell_up_1	479	1.62376746212668e-29	PC12 (3e-09)	Rothwell	36580032	IIM	Idiopathic Inflammatory Myopathies (IIM, Myositis)	IMD	10260	2565	12825	European	N	IIM (Rothwell)
INS_Kubo_BBJ_1	529	0.403256015131688	PC8 (3e-01)	Kubo	BBJ	INS	Idiopathic Nephrotic Syndrome	IMD	211496	957	212453	East Asian (Japanese)	Y	Idiopathic Nephrotic Syndrome
IRITIS_Sakaue_doi1011012020102320213652_1	534	0.751438071583881	PC9 (3e-01)	Sakaue	doi1011012020102320213652	IRITIS	Iritis	IMD	175543	110	175653	East Asian (Japanese)	Y	Iritis
ITP_Sakaue_doi1011012020102320213652_1	534	0.0796336118718954	PC13 (3e-03)	Sakaue	doi1011012020102320213652	ITP	Idiopathic thrombocytopenic purpura	IMD	178558	168	178726	East Asian (Japanese)	Y	Idiopathic thrombocytopenic purpura
J10_ASTHMACOPDKELA_FinnGen_FinnGenR7_1	562	5.394364743186e-129	PC13 (5e-105)	FinnGen	FinnGenR7	J10_ASTHMACOPDKELA	Asthma/COPD (KELA buy) (FinnGen)	IMD	259128	29093	288221	European (Finnish)	Y	Asthma/COPD (KELA buy)
J10_ASTHMA_EXMORE_FinnGen_FinnGenR7_1	562	1.03138972305804e-116	PC13 (2e-101)	FinnGen	FinnGenR7	J10_ASTHMA_EXMORE	Asthma (more controls excluded) (FinnGen)	IMD	175182	32351	207533	European (Finnish)	Y	Asthma (more controls excluded)
J10_ASTHMA_FinnGen_FinnGenR7_1	562	6.93982186891336e-117	PC13 (3e-102)	FinnGen	FinnGenR7	J10_ASTHMA	Asthma (FinnGen)	IMD	180942	32351	213293	European (Finnish)	Y	Asthma
J10_ASTHMA_INCLAVO_FinnGen_FinnGenR7_1	562	3.56752148606269e-127	PC13 (4e-106)	FinnGen	FinnGenR7	J10_ASTHMA_INCLAVO	Asthma, including avohilmo (FinnGen)	IMD	268644	40510	309154	European (Finnish)	Y	Asthma, including avohilmo
J10_ASTHMA_MAIN_EXMORE_FinnGen_FinnGenR7_1	562	1.10226430612076e-106	PC13 (2e-92)	FinnGen	FinnGenR7	J10_ASTHMA_MAIN_EXMORE	Asthma, main (more controls excluded) (FinnGen)	IMD	175182	26363	201545	European (Finnish)	Y	Asthma, main (more controls excluded)
J10_ASTHMA_MAIN_FinnGen_FinnGenR7_1	562	1.01659463527186e-106	PC13 (7e-93)	FinnGen	FinnGenR7	J10_ASTHMA_MAIN	Asthma,main (FinnGen)	IMD	180942	26363	207305	European (Finnish)	Y	Asthma,main
J10_BRONCHNAS_FinnGen_FinnGenR7_1	562	0.138474377160414	PC5 (9e-03)	FinnGen	FinnGenR7	J10_BRONCHNAS	Unspecified chronic bronchitis (FinnGen)	IMD	259128	849	259977	European (Finnish)	Y	Unspecified chronic bronchitis
J10_COPDNAS_FinnGen_FinnGenR7_1	562	1.95458187392273e-11	PC13 (8e-16)	FinnGen	FinnGenR7	J10_COPDNAS	Other chronic obstructive pulmonary disease (FinnGen)	IMD	259128	12681	271809	European (Finnish)	Y	Other chronic obstructive pulmonary disease
J10_COPD_FinnGen_FinnGenR7_1	562	2.0741757570835e-12	PC13 (6e-17)	FinnGen	FinnGenR7	J10_COPD	COPD (FinnGen)	IMD	259128	13255	272383	European (Finnish)	Y	COPD
J10_NASALPOLYP_FinnGen_FinnGenR7_1	562	1.87455188835118e-69	PC13 (2e-44)	FinnGen	FinnGenR7	J10_NASALPOLYP	Nasal polyp (FinnGen)	IMD	234924	4865	239789	European (Finnish)	Y	Nasal polyp
J10_PULMEOS_FinnGen_FinnGenR7_1	562	0.374614074163779	PC13 (5e-02)	FinnGen	FinnGenR7	J10_PULMEOS	Pulmonary eosinophilia, not elsewhere classified (FinnGen)	IMD	305292	252	305544	European (Finnish)	Y	Pulmonary eosinophilia, not elsewhere classified
J10_VASOALLERRHIN_FinnGen_FinnGenR7_1	562	4.20012412220087e-44	PC13 (8e-40)	FinnGen	FinnGenR7	J10_VASOALLERRHIN	Vasomotor and allergic rhinitis (FinnGen)	IMD	234924	11069	245993	European (Finnish)	Y	Vasomotor and allergic rhinitis
JDM_Miller_26291516_1	564	0.00467494010014523	PC1 (2e-03)	Miller	26291516	JDM	Juvenile Dermatomyositis	IMD	4724	473	5197	European	N	Juvenile Dermatomyositis (Miller)
JDM_Rothwell_up_1	479	0.00484844729774529	PC12 (2e-04)	Rothwell	36580032	JDM	Juvenile Dermatomyositis	IMD	2032	508	2540	European	N	Juvenile Dermatomyositis (Rothwell)
JIA_LopezIsac_33106285_1	566	8.78550471059909e-52	PC3 (8e-20)	LopezIsac	33106285	JIA	Juvenile Idiopathic Arthritis	IMD	9196	3305	12501	European (UK)	Y	Juvenile Idiopathic Arthritis
